num,smallest_robdd_size,robdd_size_distribution,algebraic_degree,is_balanced,nonlinearity,correlation_immunity,resiliency_order,algebraic_immunity
1,1,"[(1, 24)]",-1,False,0,-1,-1,0
2,6,"[(6, 24)]",4,False,1,-1,-1,1
3,5,"[(5, 24)]",3,False,2,-1,-1,1
4,7,"[(7, 12), (8, 8), (9, 4)]",3,False,2,-1,-1,1
5,8,"[(8, 12), (9, 12)]",3,False,2,-1,-1,1
6,9,"[(9, 24)]",3,False,2,-1,-1,1
7,6,"[(6, 12), (7, 8), (8, 4)]",4,False,3,-1,-1,1
8,8,"[(8, 12), (9, 12)]",4,False,3,-1,-1,1
9,7,"[(7, 8), (8, 12), (9, 4)]",4,False,3,-1,-1,1
10,9,"[(9, 8), (10, 16)]",4,False,3,-1,-1,1
11,8,"[(8, 18), (9, 6)]",4,False,3,-1,-1,1
12,9,"[(9, 8), (10, 16)]",4,False,3,-1,-1,1
13,4,"[(4, 24)]",2,False,4,-1,-1,1
14,7,"[(7, 12), (8, 12)]",3,False,4,-1,-1,1
15,6,"[(6, 4), (7, 8), (8, 8), (9, 2), (10, 2)]",3,False,4,-1,-1,1
16,7,"[(7, 4), (8, 12), (9, 4), (10, 4)]",3,False,4,-1,-1,1
17,6,"[(6, 16), (7, 8)]",2,False,4,-1,-1,1
18,8,"[(8, 12), (9, 12)]",2,False,4,-1,-1,1
19,9,"[(9, 24)]",3,False,4,-1,-1,1
20,8,"[(8, 4), (9, 20)]",3,False,4,-1,-1,1
21,8,"[(8, 6), (9, 10), (10, 8)]",3,False,4,-1,-1,1
22,9,"[(9, 8), (10, 16)]",3,False,4,-1,-1,1
23,10,"[(10, 24)]",3,False,4,-1,-1,1
24,8,"[(8, 4), (9, 16), (10, 4)]",3,False,4,-1,-1,1
25,10,"[(10, 24)]",3,False,4,-1,-1,1
26,7,"[(7, 12), (8, 8), (10, 4)]",3,False,4,-1,-1,1
27,8,"[(8, 2), (9, 10), (10, 12)]",3,False,4,-1,-1,1
28,8,"[(8, 4), (9, 12), (10, 8)]",3,False,4,-1,-1,1
29,7,"[(7, 24)]",2,False,4,-1,-1,1
30,8,"[(8, 8), (11, 16)]",2,False,4,-1,-1,1
31,9,"[(9, 8), (11, 16)]",2,False,4,-1,-1,1
32,6,"[(6, 8), (7, 12), (8, 4)]",4,False,3,-1,-1,1
33,7,"[(7, 8), (8, 10), (9, 4), (10, 2)]",4,False,3,-1,-1,1
34,8,"[(8, 12), (9, 6), (10, 6)]",4,False,3,-1,-1,1
35,8,"[(8, 24)]",4,False,5,-1,-1,2
36,7,"[(7, 2), (8, 12), (9, 6), (10, 4)]",4,False,5,-1,-1,2
37,8,"[(8, 4), (9, 12), (10, 8)]",4,False,5,-1,-1,2
38,8,"[(8, 4), (9, 10), (10, 10)]",4,False,5,-1,-1,2
